"logger","datetime","max","min","mean","range","date"
"Drago.OR4","2016-05-01 23:45:00",31.484,29.215,30.2892648809524,2.269,2016-05-01
"Punta.IR1","2016-05-01 23:45:00",31.868,30.041,30.9423134920635,1.827,2016-05-01
"STRI.IR2","2016-05-01 23:45:00",31.179,29.49,30.3115282738095,1.689,2016-05-01
"Cristo.IR3.arr1","2016-05-01 23:45:00",33.495,30.0161111111111,31.7070464065256,3.47888888888889,2016-05-01
"Cayo.OR3.arr3","2016-05-08 23:45:00",32.433,29.865,31.1786150793651,2.568,2016-05-08
"Drago.OR4","2016-05-08 23:45:00",31.663,29.665,30.609464781746,1.998,2016-05-08
"Punta.IR1","2016-05-08 23:45:00",32.15,29.64,31.0059479166667,2.51,2016-05-08
"STRI.IR2","2016-05-08 23:45:00",31.586,29.966,30.812777281746,1.62,2016-05-08
"Cristo.IR3.arr1","2016-05-08 23:45:00",33.5477777777778,30.0411111111111,31.8205960648148,3.50666666666666,2016-05-08
"Cayo.OR3.arr3","2016-05-15 23:45:00",31.382,29.414,30.3625456349206,1.968,2016-05-15
"Drago.OR4","2016-05-15 23:45:00",31.281,28.742,29.9613516865079,2.539,2016-05-15
"Punta.IR1","2016-05-15 23:45:00",31.077,29.565,30.3108784722222,1.512,2016-05-15
"STRI.IR2","2016-05-15 23:45:00",30.697,29.64,30.1611378968254,1.057,2016-05-15
"Cristo.IR3.arr1","2016-05-15 23:45:00",31.9961111111111,29.9661111111111,30.8913351521164,2.03000000000001,2016-05-15
"Cayo.OR3.arr3","2016-05-22 23:45:00",30.293,29.165,29.7131636904762,1.128,2016-05-22
"Drago.OR4","2016-05-22 23:45:00",29.615,28.866,29.2513134920635,0.748999999999999,2016-05-22
"Punta.IR1","2016-05-22 23:45:00",30.268,29.29,29.7429067460317,0.978000000000002,2016-05-22
"STRI.IR2","2016-05-22 23:45:00",29.991,29.315,29.663066468254,0.675999999999998,2016-05-22
"Cristo.IR3.arr1","2016-05-22 23:45:00",30.6211111111111,29.265,29.929852292769,1.3561111111111,2016-05-22
"Cayo.OR3.arr3","2016-05-29 23:45:00",31.484,29.19,30.2282926587302,2.294,2016-05-29
"Drago.OR4","2016-05-29 23:45:00",30.672,29.04,29.8611850198413,1.632,2016-05-29
"Punta.IR1","2016-05-29 23:45:00",31.204,29.315,30.1690079365079,1.889,2016-05-29
"STRI.IR2","2016-05-29 23:45:00",30.495,29.24,29.7934761904762,1.255,2016-05-29
"Cristo.IR3.arr1","2016-05-29 23:45:00",32.0472222222222,29.4388888888889,30.5863238536155,2.60833333333334,2016-05-29
"Cayo.OR3.arr3","2016-06-05 23:45:00",31.484,29.84,30.6390243055556,1.644,2016-06-05
"Drago.OR4","2016-06-05 23:45:00",31.001,29.765,30.3443616071429,1.236,2016-06-05
"Punta.IR1","2016-06-05 23:45:00",31.714,30.016,30.846464781746,1.698,2016-06-05
"STRI.IR2","2016-06-05 23:45:00",30.545,29.765,30.1300307539683,0.780000000000001,2016-06-05
"Cristo.IR3.arr1","2016-06-05 23:45:00",32.3038888888889,30.0911111111111,31.0955574845679,2.21277777777778,2016-06-05
"Cayo.OR3.arr3","2016-06-12 23:45:00",32.175,29.74,30.9047698412698,2.435,2016-06-12
